year,codest,codmun,enrolled,daycare_pop,ratio
2000,14,140040,56,858,0.06526806526806526
2004,14,140040,125,785,0.1592356687898089
2008,14,140040,81,1020,0.07941176470588235
2012,14,140040,102,1265,0.08063241106719368
2000,14,140045,91,982,0.09266802443991853
2004,14,140045,171,1093,0.1564501372369625
2008,14,140045,151,1358,0.11119293078055964
2012,14,140045,118,1273,0.09269442262372349
2000,14,140047,0,1881,0.0
2004,14,140047,101,2386,0.04233025984911987
2008,14,140047,197,2903,0.06786083362039269
2012,14,140047,278,1837,0.15133369624387588
2000,14,140050,0,598,0.0
2004,14,140050,3,624,0.004807692307692308
2008,14,140050,0,761,0.0
2012,14,140050,47,591,0.07952622673434856
2000,14,140060,0,494,0.0
2004,14,140060,0,566,0.0
2008,14,140060,0,576,0.0
2012,14,140060,0,445,0.0
2000,14,140070,0,909,0.0
2004,14,140070,0,972,0.0
2008,14,140070,0,1317,0.0
2012,14,140070,0,1367,0.0
2000,15,150010,16,12333,0.0012973323603340632
2004,15,150010,50,13138,0.0038057543005023597
2008,15,150010,135,12205,0.01106104055714871
2012,15,150010,679,10633,0.06385780118499013
2000,15,150013,139,581,0.23924268502581755
2004,15,150013,91,643,0.14152410575427682
2008,15,150013,93,561,0.1657754010695187
2012,15,150013,111,532,0.20864661654135339
2000,15,150020,0,5980,0.0
2004,15,150020,120,6675,0.017977528089887642
2008,15,150020,172,4863,0.035369113715813284
2012,15,150020,701,5015,0.13978065802592224
2000,15,150030,65,4163,0.015613740091280326
2004,15,150030,136,4707,0.028893137879753557
2008,15,150030,198,3819,0.051846032992930086
2012,15,150030,289,3743,0.07721079348116484
2000,15,150034,86,1926,0.0446521287642783
2004,15,150034,184,2465,0.07464503042596349
2008,15,150034,161,2129,0.07562235791451385
2012,15,150034,214,1583,0.1351863550221099
2000,15,150040,365,4820,0.07572614107883817
2004,15,150040,483,4688,0.10302901023890786
2008,15,150040,181,5641,0.03208650948413402
2012,15,150040,289,4969,0.05816059569329845
2000,15,150050,555,3742,0.14831640833778728
2004,15,150050,318,3766,0.0844397238449283
2008,15,150050,372,2915,0.12761578044596913
2012,15,150050,46,3103,0.014824363519174991
2000,15,150060,277,7422,0.03732147669091889
2004,15,150060,348,7853,0.0443142747994397
2008,15,150060,858,7380,0.11626016260162601
2012,15,150060,1025,7730,0.13260025873221215
2000,15,150070,236,2649,0.08909022272555682
2004,15,150070,117,2885,0.04055459272097054
2008,15,150070,89,3329,0.026734755181736257
2012,15,150070,157,3028,0.05184940554821665
2000,15,150080,401,34519,0.011616790752918682
2004,15,150080,610,39548,0.015424294528168302
2008,15,150080,565,33190,0.017023199758963544
2012,15,150080,2058,30583,0.06729228656443122
2000,15,150085,0,1018,0.0
2004,15,150085,21,841,0.02497027348394768
2008,15,150085,0,1918,0.0
2012,15,150085,0,2141,0.0
2000,15,150090,0,3989,0.0
2004,15,150090,0,4121,0.0
2008,15,150090,31,4114,0.007535245503159942
2012,15,150090,119,4063,0.029288702928870293
2000,15,150095,0,2441,0.0
2004,15,150095,0,2811,0.0
2008,15,150095,0,2272,0.0
2012,15,150095,0,2214,0.0
2000,15,150100,21,1932,0.010869565217391304
2004,15,150100,0,2167,0.0
2008,15,150100,0,2133,0.0
2012,15,150100,0,1511,0.0
2000,15,150110,0,2071,0.0
2004,15,150110,0,2063,0.0
2008,15,150110,0,2516,0.0
2012,15,150110,0,2864,0.0
2000,15,150120,1621,2445,0.6629856850715746
2004,15,150120,0,2493,0.0
2008,15,150120,15,2746,0.005462490895848507
2012,15,150120,0,3177,0.0
2000,15,150125,0,398,0.0
2004,15,150125,0,373,0.0
2008,15,150125,0,382,0.0
2012,15,150125,0,273,0.0
2000,15,150130,340,6593,0.05156984680721978
2004,15,150130,1388,7325,0.18948805460750853
2008,15,150130,707,7718,0.0916040424980565
2012,15,150130,669,8657,0.07727850294559316
2000,15,150140,3984,96407,0.04132480006638522
2004,15,150140,3551,102509,0.034640860802466124
2008,15,150140,3969,81484,0.04870894899612194
2012,15,150140,5765,80577,0.07154647107735458
2000,15,150145,221,1640,0.13475609756097562
2004,15,150145,290,1828,0.1586433260393873
2008,15,150145,172,1169,0.14713430282292558
2012,15,150145,152,1347,0.11284335560504825
2000,15,150150,36,3534,0.010186757215619695
2004,15,150150,0,4092,0.0
2008,15,150150,30,3585,0.008368200836820083
2012,15,150150,74,3805,0.019448094612352168
